Time,Energy delta[Wh],GHI,temp,pressure,humidity,wind_speed,rain_1h,snow_1h,clouds_all,isSun,sunlightTime,dayLength,SunlightTime/daylength,weather_type,hour,month
2021-08-31 20:00,0,0,12.8,1020,90,3.8,0,0,32,0,0,825,0,2,20,8
2021-08-31 20:15,0,0,12.8,1020,90,3.8,0,0,32,0,0,825,0,2,20,8
2021-08-31 20:30,0,0,12.8,1020,90,3.8,0,0,32,0,0,825,0,2,20,8
2021-08-31 20:45,0,0,12.8,1020,90,3.8,0,0,32,0,0,825,0,2,20,8
2021-08-31 21:00,0,0,11.8,1020,91,3.1,0,0,38,0,0,825,0,2,21,8
2021-08-31 21:15,0,0,11.8,1020,91,3.1,0,0,38,0,0,825,0,2,21,8
2021-08-31 21:30,0,0,11.8,1020,91,3.1,0,0,38,0,0,825,0,2,21,8
2021-08-31 21:45,0,0,11.8,1020,91,3.1,0,0,38,0,0,825,0,2,21,8
2021-08-31 22:00,0,0,11.8,1021,94,2.9,0,0,39,0,0,825,0,2,22,8
2021-08-31 22:15,0,0,11.8,1021,94,2.9,0,0,39,0,0,825,0,2,22,8
2021-08-31 22:30,0,0,11.8,1021,94,2.9,0,0,39,0,0,825,0,2,22,8
2021-08-31 22:45,0,0,11.8,1021,94,2.9,0,0,39,0,0,825,0,2,22,8
2021-08-31 23:00,0,0,10.8,1021,96,2.6,0,0,22,0,0,825,0,2,23,8
2021-08-31 23:15,0,0,10.8,1021,96,2.6,0,0,22,0,0,825,0,2,23,8
2021-08-31 23:30,0,0,10.8,1021,96,2.6,0,0,22,0,0,825,0,2,23,8
2021-08-31 23:45,0,0,10.8,1021,96,2.6,0,0,22,0,0,825,0,2,23,8
2021-09-01 0:00,0,0,9.8,1021,96,2.5,0,0,20,0,0,825,0,2,0,9
2021-09-01 0:15,0,0,9.8,1021,96,2.5,0,0,20,0,0,825,0,2,0,9
2021-09-01 0:30,0,0,9.8,1021,96,2.5,0,0,20,0,0,825,0,2,0,9
2021-09-01 0:45,0,0,9.8,1021,96,2.5,0,0,20,0,0,825,0,2,0,9
2021-09-01 1:00,0,0,10.8,1021,97,2.3,0,0,27,0,0,825,0,2,1,9
2021-09-01 1:15,0,0,10.8,1021,97,2.3,0,0,27,0,0,825,0,2,1,9
2021-09-01 1:30,0,0,10.8,1021,97,2.3,0,0,27,0,0,825,0,2,1,9
2021-09-01 1:45,0,0,10.8,1021,97,2.3,0,0,27,0,0,825,0,2,1,9
2021-09-01 2:00,0,0,10.8,1021,98,2,0,0,36,0,0,825,0,2,2,9
2021-09-01 2:15,0,0,10.8,1021,98,2,0,0,36,0,0,825,0,2,2,9
2021-09-01 2:30,0,0,10.8,1021,98,2,0,0,36,0,0,825,0,2,2,9
2021-09-01 2:45,0,0,10.8,1021,98,2,0,0,36,0,0,825,0,2,2,9
2021-09-01 3:00,0,0,10.8,1021,98,2.1,0,0,76,0,0,825,0,3,3,9
2021-09-01 3:15,0,0,10.8,1021,98,2.1,0,0,76,0,0,825,0,3,3,9
2021-09-01 3:30,0,0,10.8,1021,98,2.1,0,0,76,0,0,825,0,3,3,9
2021-09-01 3:45,0,0,10.8,1021,98,2.1,0,0,76,0,0,825,0,3,3,9
2021-09-01 4:00,0,0,9.8,1022,97,2.3,0,0,18,1,15,825,0.02,2,4,9
2021-09-01 4:15,32,2,9.8,1022,97,2.3,0,0,18,1,30,825,0.04,2,4,9
2021-09-01 4:30,76,7.1,9.8,1022,97,2.3,0,0,18,1,45,825,0.05,2,4,9
2021-09-01 4:45,133,13.9,9.8,1022,97,2.3,0,0,18,1,60,825,0.07,2,4,9
2021-09-01 5:00,158,16.9,10.8,1022,96,2.6,0,0,56,1,75,825,0.09,3,5,9
2021-09-01 5:15,192,24.3,10.8,1022,96,2.6,0,0,56,1,90,825,0.11,3,5,9
2021-09-01 5:30,276,35.4,10.8,1022,96,2.6,0,0,56,1,105,825,0.13,3,5,9
2021-09-01 5:45,354,48.5,10.8,1022,96,2.6,0,0,56,1,120,825,0.15,3,5,9
2021-09-01 6:00,396,58,11.8,1022,92,3.1,0,0,97,1,135,825,0.16,4,6,9
2021-09-01 6:15,520,68.5,11.8,1022,92,3.1,0,0,97,1,150,825,0.18,4,6,9
