Station,Datetime,Temp,WindSpd,WindDir,Humid,VapPress,DewPt,LocPres,GroundTemp
통영,2023-10-13 0:00,15.8,1.7,50,77,13.7,11.7,1019,15.6
통영,2023-10-13 1:00,15.6,2.4,50,75,13.2,11.1,1018.7,15.4
통영,2023-10-13 2:00,15.3,2.2,50,78,13.5,11.4,1018,15.1
통영,2023-10-13 3:00,15.8,2.2,50,76,13.6,11.5,1017.4,15.5
통영,2023-10-13 4:00,16.2,2.3,50,74,13.6,11.5,1017,15.7
통영,2023-10-13 5:00,16.2,1.9,50,72,13.2,11.1,1017,15.7
통영,2023-10-13 6:00,15.8,1.3,50,72,12.9,10.7,1016.9,15.6
통영,2023-10-13 7:00,16,3.1,50,74,13.4,11.3,1016.6,15.4
통영,2023-10-13 8:00,16.7,3.1,50,72,13.7,11.6,1016.5,16
통영,2023-10-13 9:00,18.9,3.4,50,65,14.1,12.1,1016.8,21.9
통영,2023-10-13 10:00,20.4,3.2,50,61,14.6,12.6,1016.2,27.6
통영,2023-10-13 11:00,21.7,3.6,50,53,13.7,11.6,1015.5,32.8
통영,2023-10-13 12:00,22.5,2.3,70,54,14.7,12.7,1014.5,29.4
통영,2023-10-13 13:00,22.7,3.6,50,49,13.5,11.4,1013,28.8
통영,2023-10-13 14:00,23.5,5,50,46,13.3,11.2,1012,29.7
통영,2023-10-13 15:00,22.4,4,20,52,14,12,1011.8,27
통영,2023-10-13 16:00,21.7,2.3,50,52,13.5,11.4,1011.4,24.9
통영,2023-10-13 17:00,20.7,0.6,70,58,14.1,12.1,1011.5,22.6
통영,2023-10-13 18:00,19.8,0.3,0,63,14.5,12.5,1011.5,20.5
통영,2023-10-13 19:00,19,0.1,0,68,14.9,12.9,1011.5,19.5
통영,2023-10-13 20:00,18.4,0.9,180,72,15.2,13.2,1011.5,18.7
통영,2023-10-13 21:00,18.3,0,0,76,15.9,13.9,1011.6,18.5
통영,2023-10-13 22:00,17.7,1.5,50,78,15.8,13.8,1011.7,18.1
통영,2023-10-13 23:00,17.5,1,50,78,15.6,13.6,1011.4,17.9
통영,2023-10-14 0:00,17.2,1.4,50,80,15.7,13.7,1010.7,17.5
통영,2023-10-14 1:00,16.9,1.4,20,81,15.6,13.6,1010,17.4
통영,2023-10-14 2:00,16.8,1.5,50,83,15.8,13.8,1009.8,17.2
통영,2023-10-14 3:00,16.8,0.9,360,81,15.5,13.5,1009.2,17.1
통영,2023-10-14 4:00,16.4,0.8,50,85,15.8,13.8,1008.7,16.7
통영,2023-10-14 5:00,16.2,0.9,20,88,16.2,14.2,1008.6,16.2
통영,2023-10-14 6:00,16,0,0,93,16.8,14.8,1008.5,16.1
통영,2023-10-14 7:00,15.8,0.3,0,91,16.3,14.3,1008.6,16.1
통영,2023-10-14 8:00,16.8,0.7,50,92,17.5,15.4,1008.7,18.5
통영,2023-10-14 9:00,20.1,0,0,76,17.8,15.7,1008.6,22.2
통영,2023-10-14 10:00,21.9,2.4,230,62,16.2,14.2,1008.3,29.9
통영,2023-10-14 11:00,23,2.8,270,53,14.8,12.8,1007.8,32.9
통영,2023-10-14 12:00,24.4,2.2,250,49,14.9,12.9,1007.1,31.1
통영,2023-10-14 13:00,23.2,3.5,250,45,12.7,10.5,1006,29.9
통영,2023-10-14 14:00,23.7,2.7,270,42,12.3,10,1005.3,29.2
통영,2023-10-14 15:00,23.1,4.1,270,47,13.2,11.1,1004.9,27.4
통영,2023-10-14 16:00,22.7,2.6,270,47,12.9,10.7,1004.5,25.6
통영,2023-10-14 17:00,21.9,2.6,250,53,13.8,11.8,1004.3,23.4
통영,2023-10-14 18:00,20.5,1.8,250,59,14.2,12.2,1004.6,20.5
통영,2023-10-14 19:00,20,2.2,230,65,15.2,13.2,1004.8,19.6
통영,2023-10-14 20:00,19.5,2.8,360,58,13.1,11,1005.4,18.2
통영,2023-10-14 21:00,19,3.7,320,56,12.3,10,1005.8,17.5
통영,2023-10-14 22:00,18.6,2.1,290,57,12.2,9.9,1006,17
통영,2023-10-14 23:00,18.1,1.9,320,60,12.4,10.2,1005.8,16.6
통영,2023-10-15 0:00,17.9,1.9,290,61,12.4,10.2,1005.6,16.3
통영,2023-10-15 1:00,17.6,2.8,320,63,12.6,10.4,1005.3,16
통영,2023-10-15 2:00,17.2,3.1,320,67,13.1,11,1005.2,15.9
통영,2023-10-15 3:00,16.4,2.7,20,70,13,10.9,1005.2,15.3
통영,2023-10-15 4:00,15.4,3.3,20,72,12.5,10.3,1005.3,14.8
통영,2023-10-15 5:00,14.4,0.7,360,75,12.3,10,1005.8,14.1
통영,2023-10-15 6:00,14.4,1,340,72,11.8,9.4,1006.3,13.7
통영,2023-10-15 7:00,14.2,0.3,0,73,11.8,9.4,1006.8,13.7
통영,2023-10-15 8:00,14.9,1.2,360,71,11.9,9.6,1007.2,14.7
통영,2023-10-15 9:00,17.9,2.8,340,57,11.6,9.2,1007.4,20.5
통영,2023-10-15 10:00,20.1,2.2,290,49,11.5,9,1007.4,28.9
통영,2023-10-15 11:00,20.2,4.1,250,46,10.8,8.1,1007.3,31.5
통영,2023-10-15 12:00,21.5,2.6,290,48,12.3,10,1007.2,30.3
통영,2023-10-15 13:00,23.3,2.7,290,50,14.2,12.2,1006.5,30
통영,2023-10-15 14:00,22.7,4,270,45,12.4,10.1,1006,27.8
통영,2023-10-15 15:00,23.1,2.9,340,43,12.1,9.8,1005.8,27.8
통영,2023-10-15 16:00,23.1,3.7,320,46,12.9,10.8,1005.9,27.5
통영,2023-10-15 17:00,22.3,3,320,48,12.9,10.7,1006.1,23.5
통영,2023-10-15 18:00,20.2,2.6,20,54,12.7,10.5,1006.8,20.2
통영,2023-10-15 19:00,18.5,2.4,50,61,12.9,10.8,1007.5,18.3
통영,2023-10-15 20:00,17.7,1.7,50,65,13.1,11,1008.3,17.3
통영,2023-10-15 21:00,17,2.8,20,69,13.3,11.2,1008.9,16.5
통영,2023-10-15 22:00,16.9,3,20,66,12.6,10.4,1009.4,15.9
통영,2023-10-15 23:00,16.3,2.6,20,60,11.1,8.5,1009.5,14.9
통영,2023-10-16 0:00,15.5,2.7,20,68,11.9,9.6,1009.8,14.6
통영,2023-10-16 1:00,14.7,2.6,20,73,12.2,9.9,1010.2,14.1
통영,2023-10-16 2:00,14.4,1.3,20,73,11.9,9.6,1010.6,13.8
통영,2023-10-16 3:00,14,1.6,20,75,11.9,9.6,1010.5,13.5
통영,2023-10-16 4:00,13.8,1.4,50,80,12.6,10.4,1010.3,13.2
통영,2023-10-16 5:00,13.4,1.1,20,82,12.5,10.3,1010.7,13
통영,2023-10-16 6:00,13.5,0.5,20,84,12.9,10.8,1010.9,12.9
통영,2023-10-16 7:00,13.5,0,0,86,13.2,11.1,1011.2,13.1
통영,2023-10-16 8:00,14.5,0,0,87,14.3,12.3,1011.6,14.6
통영,2023-10-16 9:00,18.9,1.7,290,66,14.4,12.4,1011.7,20.4
통영,2023-10-16 10:00,19.7,3.6,320,60,13.7,11.7,1011.4,27.8
통영,2023-10-16 11:00,21.3,2.1,290,54,13.7,11.6,1011.1,32.4
통영,2023-10-16 12:00,21.8,3.9,270,51,13.3,11.2,1010.4,29.7
통영,2023-10-16 13:00,22.7,3.3,270,46,12.6,10.4,1009.8,29.2
통영,2023-10-16 14:00,23.2,3.7,250,46,13,10.9,1009.3,28.2
통영,2023-10-16 15:00,23.4,2.9,250,43,12.3,10,1009.4,27
통영,2023-10-16 16:00,22.8,2.1,320,41,11.3,8.8,1009.6,25.1
통영,2023-10-16 17:00,21.3,2.3,320,43,10.9,8.2,1009.7,21.9
통영,2023-10-16 18:00,19.8,2.3,320,49,11.2,8.7,1010,19.2
통영,2023-10-16 19:00,18.5,1.7,340,56,11.9,9.5,1010.7,17.6
통영,2023-10-16 20:00,16.8,1.2,50,64,12.2,9.9,1011,16.2
통영,2023-10-16 21:00,15.9,1.2,50,65,11.7,9.3,1011.6,15.4
통영,2023-10-16 22:00,15.4,1.4,50,62,10.8,8.1,1012.1,14.8
통영,2023-10-16 23:00,14.8,2.2,50,66,11.1,8.5,1012.2,14.1
통영,2023-10-17 0:00,14.2,1.4,50,70,11.2,8.7,1012.3,13.7
통영,2023-10-17 1:00,13.6,1.8,50,75,11.6,9.2,1012.7,13.2
통영,2023-10-17 2:00,13.2,0.9,50,73,11,8.4,1013.1,12.6
통영,2023-10-17 3:00,12.6,1.3,50,77,11.2,8.6,1013.1,12.2
통영,2023-10-17 4:00,11.9,2.5,50,77,10.6,7.9,1013.2,11.8
통영,2023-10-17 5:00,11.5,2.6,50,76,10.3,7.4,1013.4,11.3
통영,2023-10-17 6:00,10.9,1.7,20,79,10.2,7.3,1013.7,10.9
통영,2023-10-17 7:00,10.7,2.2,50,81,10.4,7.5,1014.3,10.9
통영,2023-10-17 8:00,11.4,1.8,50,78,10.4,7.6,1014.9,11.6
통영,2023-10-17 9:00,15.4,3.1,50,58,10.1,7.1,1015.5,17.8
통영,2023-10-17 10:00,18,2.6,50,48,9.9,6.8,1015.4,28
통영,2023-10-17 11:00,20.2,2.2,50,33,7.7,3.3,1015.3,32
통영,2023-10-17 12:00,21.5,2.5,20,28,7.2,2.2,1014.7,29.7
통영,2023-10-17 13:00,22.8,2.9,250,29,8,3.8,1013.9,28.7
통영,2023-10-17 14:00,23.4,3,230,30,8.6,4.8,1013.5,27.3
통영,2023-10-17 15:00,23,3,250,31,8.7,4.9,1013.5,26.2
통영,2023-10-17 16:00,22.3,2.6,250,38,10.2,7.2,1013.8,24.3
통영,2023-10-17 17:00,21,2.1,250,46,11.4,8.9,1014.1,21.1
통영,2023-10-17 18:00,18.1,0.9,230,57,11.8,9.4,1014.9,17.8
통영,2023-10-17 19:00,16.7,1.1,180,65,12.3,10,1015.6,16.5
통영,2023-10-17 20:00,15.7,1.2,180,74,13.1,11,1016.1,15.6
통영,2023-10-17 21:00,15.2,0.5,200,81,13.9,11.9,1016.4,14.9
통영,2023-10-17 22:00,14.9,0.9,140,80,13.5,11.4,1017,14.4
통영,2023-10-17 23:00,14.5,0.4,0,86,14.1,12.1,1017,13.9
통영,2023-10-18 0:00,13.9,0,0,90,14.2,12.2,1017.1,13.5
통영,2023-10-18 1:00,13.6,0,0,88,13.7,11.6,1017,13.2
통영,2023-10-18 2:00,13.3,0,0,90,13.7,11.6,1017.1,12.9
통영,2023-10-18 3:00,13.1,0,0,91,13.7,11.6,1016.7,12.7
통영,2023-10-18 4:00,12.7,1,50,92,13.5,11.4,1017.2,12.6
통영,2023-10-18 5:00,12.7,0,0,94,13.7,11.7,1017,12.4
통영,2023-10-18 6:00,12.3,0.9,20,93,13.2,11.1,1017.2,12.3
통영,2023-10-18 7:00,12.5,0.6,360,95,13.7,11.7,1017.4,12.4
통영,2023-10-18 8:00,13.1,1.7,20,94,14.1,12.1,1018.1,13.5
통영,2023-10-18 9:00,16.9,1.7,20,83,15.9,13.9,1018.5,19.2
통영,2023-10-18 10:00,20.4,1.7,200,64,15.3,13.3,1018.2,29.4
통영,2023-10-18 11:00,21.4,2.4,200,59,15,13,1017.8,31.8
통영,2023-10-18 12:00,22.8,3.6,230,45,12.4,10.2,1017.4,29.4
통영,2023-10-18 13:00,22.5,3.2,270,56,15.2,13.2,1016.4,28.6
통영,2023-10-18 14:00,22.3,3.8,270,53,14.2,12.2,1015.6,27.8
통영,2023-10-18 15:00,22.2,3.5,250,47,12.5,10.3,1015.2,26.2
통영,2023-10-18 16:00,21.9,2.8,250,50,13,10.9,1015,24.6
통영,2023-10-18 17:00,21.1,2.8,250,55,13.7,11.6,1014.6,21.5
통영,2023-10-18 18:00,19,1.5,250,69,15.1,13.1,1015.2,18.9
통영,2023-10-18 19:00,18,1.7,180,75,15.4,13.4,1015.7,17.8
통영,2023-10-18 20:00,18,2.6,230,74,15.2,13.2,1015.7,17.1
통영,2023-10-18 21:00,16.4,0.7,70,81,15.1,13.1,1016.2,15.9
통영,2023-10-18 22:00,16,0.4,0,83,15.1,13.1,1016.3,15.4
통영,2023-10-18 23:00,15.6,0.1,0,86,15.2,13.2,1016.2,15
통영,2023-10-19 0:00,15.4,0.2,0,88,15.4,13.4,1015.8,14.8
통영,2023-10-19 1:00,15.6,0,0,87,15.4,13.4,1015.9,15.2
통영,2023-10-19 2:00,15.5,0.6,140,88,15.5,13.5,1015.4,14.7
통영,2023-10-19 3:00,15.3,0,0,89,15.4,13.4,1015.1,14.6
통영,2023-10-19 4:00,15.1,0.5,160,93,15.9,13.9,1014.8,14.4
통영,2023-10-19 5:00,15.1,0.2,0,94,16.1,14.1,1015.1,14.5
통영,2023-10-19 6:00,16.1,0.9,200,87,15.9,13.9,1014.7,14.6
통영,2023-10-19 7:00,17.8,3.1,270,77,15.7,13.7,1015,15.7
통영,2023-10-19 8:00,17.9,1.4,320,74,15.1,13.1,1015.3,16.9
통영,2023-10-19 9:00,19.5,2.7,270,68,15.4,13.4,1015.3,20.4
통영,2023-10-19 10:00,19.4,3.6,250,68,15.3,13.3,1015.1,22.1
통영,2023-10-19 11:00,20.8,3.5,270,67,16.4,14.4,1014.6,28.3
통영,2023-10-19 12:00,21.3,3.5,270,62,15.7,13.7,1013.8,28.2
통영,2023-10-19 13:00,22.9,2.9,250,60,16.7,14.7,1012.7,28.4
통영,2023-10-19 14:00,23.6,2.7,250,56,16.3,14.3,1012.1,26.4
통영,2023-10-19 15:00,22.3,3.4,270,63,16.9,14.9,1011.5,25.5
통영,2023-10-19 16:00,22.9,3.2,250,61,16.9,14.9,1010.9,24.8
통영,2023-10-19 17:00,20.8,3.9,230,72,17.6,15.5,1011.1,22.6
통영,2023-10-19 18:00,20.2,3.1,250,74,17.5,15.4,1010.9,21
통영,2023-10-19 19:00,20,2.7,200,77,17.9,15.8,1010.9,20.3
통영,2023-10-19 20:00,20,2.6,230,77,17.9,15.8,1010.9,19.8
통영,2023-10-19 21:00,20.1,2.1,250,78,18.3,16.1,1010.8,19.6
통영,2023-10-19 22:00,20,2,230,81,18.9,16.6,1010.4,19.6
통영,2023-10-19 23:00,20.1,1.6,270,81,19,16.7,1010.3,19.5
통영,2023-10-20 0:00,19.5,1.2,320,78,17.6,15.5,1009.8,19
통영,2023-10-20 1:00,19.5,2.1,320,75,16.9,14.9,1009.7,18.8
통영,2023-10-20 2:00,16,4.7,50,85,15.4,13.4,1009.7,17.8
통영,2023-10-20 3:00,14.8,5.5,50,70,11.7,9.3,1009.9,16.5
통영,2023-10-20 4:00,14.8,4.7,50,68,11.4,8.9,1009.5,16
통영,2023-10-20 5:00,14.5,5.3,50,69,11.3,8.8,1009.4,15.6
통영,2023-10-20 6:00,14.8,4.7,50,64,10.7,8,1010.4,15.4
통영,2023-10-20 7:00,14.5,3.8,50,69,11.3,8.8,1010.8,15.2
통영,2023-10-20 8:00,13.6,3.1,50,79,12.3,10,1011.8,15.5
통영,2023-10-20 9:00,14.4,7.6,20,65,10.6,7.8,1012.3,16.7
통영,2023-10-20 10:00,15.7,3.8,50,50,8.8,5.2,1011.9,19.3
통영,2023-10-20 11:00,17.8,6.3,50,34,6.9,1.7,1011.5,25.6
통영,2023-10-20 12:00,18.7,5.1,20,31,6.7,1.2,1011.1,29.3
통영,2023-10-20 13:00,19.5,7.4,50,25,5.7,-1,1010.3,27.3
통영,2023-10-20 14:00,19.1,9.8,20,27,6,-0.3,1009.9,23.8
통영,2023-10-20 15:00,18.9,5.5,20,29,6.3,0.4,1009.9,22.5
통영,2023-10-20 16:00,18.5,5.4,320,31,6.6,1,1010.2,20.8
통영,2023-10-20 17:00,17.1,5.3,50,33,6.4,0.6,1010.9,18.4
통영,2023-10-20 18:00,15.7,4.1,20,33,5.9,-0.5,1011.8,16
통영,2023-10-20 19:00,14.5,2.8,360,39,6.4,0.6,1012.7,14.7
통영,2023-10-20 20:00,13.6,2.5,340,44,6.8,1.5,1013.8,13.7
통영,2023-10-20 21:00,13,3.5,340,49,7.3,2.5,1014.5,13
통영,2023-10-20 22:00,12.3,3.8,20,52,7.4,2.7,1014.9,12.2
통영,2023-10-20 23:00,11.8,5.7,250,48,6.6,1.1,1015.4,11.5
통영,2023-10-21 0:00,11.1,3.9,20,50,6.6,1,1016,11
통영,2023-10-21 1:00,11,6.9,320,47,6.2,0.1,1016,10.6
통영,2023-10-21 2:00,10.6,6.1,50,49,6.2,0.3,1016.2,10.3
통영,2023-10-21 3:00,10.2,5.4,50,51,6.3,0.4,1016.4,10
통영,2023-10-21 4:00,9.9,3.1,20,51,6.2,0.2,1016.4,9.6
통영,2023-10-21 5:00,9.7,3,340,52,6.2,0.3,1016.6,9.2
통영,2023-10-21 6:00,9.6,3.9,50,51,6.1,0,1017.1,8.9
통영,2023-10-21 7:00,8.4,2.6,50,52,5.7,-0.9,1018.3,8.6
통영,2023-10-21 8:00,9.1,2.3,50,49,5.7,-1,1019,9
통영,2023-10-21 9:00,12.8,2.2,340,35,5.2,-2.3,1019,12.8
통영,2023-10-21 10:00,14.9,2,320,33,5.6,-1.2,1018.5,21.8
통영,2023-10-21 11:00,15.8,3.3,230,35,6.2,0.3,1018.1,28
통영,2023-10-21 12:00,17.2,3.1,250,36,7,1.9,1017.6,27.9
통영,2023-10-21 13:00,17.4,4.4,230,39,7.7,3.2,1016.7,25.9
통영,2023-10-21 14:00,17.8,3.3,340,43,8.7,5,1016.2,24.9
통영,2023-10-21 15:00,17.3,5.1,340,46,9,5.5,1016,21.6
통영,2023-10-21 16:00,18.5,2.9,290,45,9.5,6.3,1015.9,20.1
통영,2023-10-21 17:00,17,3.2,290,48,9.2,5.8,1016,17.8
통영,2023-10-21 18:00,15.8,2,320,56,10,7,1016.4,15.9
통영,2023-10-21 19:00,14.6,2.5,20,60,9.9,6.9,1016.9,14.6
통영,2023-10-21 20:00,14.1,1.6,20,57,9.1,5.6,1017.4,13.6
